Name,Birth/death dates,File name,Category,Field
Boris Chicherin,1828–1904,Boris_Chicherin.txt,Philosophers of the Russian Empire,Philosophers of the Russian Empire
Brand Blanshard,1892–1987,Brand_Blanshard.txt,20th-century American philosophers,
Branislav Petronijević,1875–1954,Branislav_Petronijević.txt,Metaphysicians,
Brian Barry,1936–2009,Brian_Barry.txt,Fellows of the American Academy of Arts and Sciences,
Bruno Bauer,1809–1882,Bruno_Bauer.txt,German male non-fiction writers,
Bruno Latour,born 1947,Bruno_Latour.txt,Philosophers of science,Philosophers of science
Bruno de Finetti,1906–1985,Bruno_de_Finetti.txt,20th-century economists,
Buddhaghosa,5th century,Buddhaghosa.txt,Year of birth uncertain,
C. D. Broad,1887–1971,C._D._Broad.txt,Epistemologists,Philosophers of mind
C. Lloyd Morgan,1852–1936,C._Lloyd_Morgan.txt,Fellows of the Royal Society,
C. S. Lewis,1898–1963,C._S._Lewis.txt,Fellows of the British Academy,
Caio Prado Júnior,1907–1990,Caio_Prado_Júnior.txt,20th-century historians,
Calcidius,4th century,Calcidius.txt,Commentators on Plato,
Callicles,late 5th century BC,Callicles.txt,5th-century BC philosophers,
Carl Gustav Carus,1789–1869,Carl_Gustav_Carus.txt,Members of the Royal Swedish Academy of Sciences,
Carl Gustav Hempel,1905–1997,Carl_Gustav_Hempel.txt,Philosophers of science,Philosophers of science
Carl Jung,1875–1961,Carl_Jung.txt,20th-century psychologists,
Carl Linnaeus,1707–1778,Carl_Linnaeus.txt,Fellows of the Royal Society,
Carl Schmitt,1888–1985,Carl_Schmitt.txt,20th-century German philosophers,Philosophers of law
Carl Stumpf,1848–1936,Carl_Stumpf.txt,Epistemologists,Philosophers of culture
Carl Vogt,1817–1895,Carl_Vogt.txt,German atheists,
Carlo Cattaneo,1801–1869,Carlo_Cattaneo.txt,Italian philosophers,
Carlo Rosselli,1899–1937,Carlo_Rosselli.txt,Jewish socialists,
Carlos Cossio,1903–1987,Carlos_Cossio.txt,1903 births,
Carneades,c. 214–129 BC,Carneades.txt,Academic philosophers,
Catharine Macaulay,1731–1791,Catharine_Macaulay.txt,English philosophers,
Catherine Clément,born 1939,Catherine_Clément.txt,Continental philosophers,
Catherine Trotter Cockburn,1679–1749,Catherine_Trotter_Cockburn.txt,English philosophers,
Celsus,2nd century,Celsus.txt,Critics of Christianity,
"Cesare, Marquis of Beccaria",1738–1794,"Cesare,_Marquis_of_Beccaria.txt",Enlightenment philosophers,
Ch'ien Mu,1895–1990,Ch'ien_Mu.txt,Chinese Confucianists,
Chanakya,321–296 BC,Chanakya.txt,Indian political philosophers,
Chang Hsueh-ch'eng,1738–1801,Chang_Hsueh-ch'eng.txt,,
Chang Tsai,1020–1077,Chang_Tsai.txt,Chinese Confucianists,
Charles Babbage,1791–1871,Charles_Babbage.txt,Fellows of the American Academy of Arts and Sciences,
