Name,Birth/death dates,File name
Domenico Losurdo,1941–2018,Domenico_Losurdo.txt
Domingo Báñez,1528–1604,Domingo_Báñez.txt
Domingo de Soto,1494–1560,Domingo_de_Soto.txt
Donald Cary Williams,1899–1983,Donald_Cary_Williams.txt
Donald Davidson (philosopher),1917–2003,Donald_Davidson_(philosopher).txt
Dong Zhongshu,c. 176–c. 104,Dong_Zhongshu.txt
Dorothy Maud Wrinch,1894–1976,Dorothy_Maud_Wrinch.txt
Dugald Stewart,1753–1828,Dugald_Stewart.txt
Duns Scotus,c. 1266–1308,Duns_Scotus.txt
Durandus of St. Pourçain,c. 1275–1334,Durandus_of_St._Pourçain.txt
Désiré-Joseph Mercier,1851–1926,Désiré-Joseph_Mercier.txt
Edgar Morin,born 1921,Edgar_Morin.txt
Edgar S. Brightman,1884–1953,Edgar_S._Brightman.txt
Edith Stein,1891–1942,Edith_Stein.txt
Edmund Burke,1729–1797,Edmund_Burke.txt
Edmund Gettier,1927–2021,Edmund_Gettier.txt
Edmund Gurney,1847–1888,Edmund_Gurney.txt
Edmund Husserl,1859–1938,Edmund_Husserl.txt
Edmund Montgomery,1835–1911,Edmund_Montgomery.txt
Edouard Le Roy,1870–1954,Edouard_Le_Roy.txt
Eduard Bernstein,1850–1932,Eduard_Bernstein.txt
Eduard Hanslick,1825–1904,Eduard_Hanslick.txt
Eduard Von Hartmann,1842–1906,Eduard_Von_Hartmann.txt
Eduard Zeller,1814–1908,Eduard_Zeller.txt
Eduardo Rabossi,1930–2005,Eduardo_Rabossi.txt
Edvard Westermarck,1862–1939,Edvard_Westermarck.txt
Edward Bullough,1880–1934,Edward_Bullough.txt
Edward Caird,1835–1908,Edward_Caird.txt
Edward Carpenter,1844–1929,Edward_Carpenter.txt
Edward Gibbon,1737–1794,Edward_Gibbon.txt
"Edward Herbert, 1st Baron Herbert of Cherbury",1583–1648,"Edward_Herbert,_1st_Baron_Herbert_of_Cherbury.txt"
Edward N. Zalta,born 1952,Edward_N._Zalta.txt
Edward Stachura,1937–1979,Edward_Stachura.txt
Edwin Holt,1873–1946,Edwin_Holt.txt
Ehrenfried Walther von Tschirnhaus,1651–1708,Ehrenfried_Walther_von_Tschirnhaus.txt
Eli Siegel,1902–1978,Eli_Siegel.txt
Elihu Palmer,1764–1806,Elihu_Palmer.txt
Elijah Delmedigo,1460–1497,Elijah_Delmedigo.txt
"Elisabeth of Bohemia, Princess Palatine",1618–1680,"Elisabeth_of_Bohemia,_Princess_Palatine.txt"
Elliott Sober,born 1948,Elliott_Sober.txt
Emanuel Swedenborg,1688–1772,Emanuel_Swedenborg.txt
Emerich de Vattel,1714–1767,Emerich_de_Vattel.txt
Emil Brunner,1889–1966,Emil_Brunner.txt
Emil Cioran,1911–1995,Emil_Cioran.txt
Emil Fackenheim,1916–2003,Emil_Fackenheim.txt
Emil Leon Post,1897–1954,Emil_Leon_Post.txt
Emil du Bois-Reymond,1818–1896,Emil_du_Bois-Reymond.txt
Emile Boutroux,1845–1921,Emile_Boutroux.txt
Emile Meyerson,1859–1933,Emile_Meyerson.txt
Emmanuel Levinas,1906–1995,Emmanuel_Levinas.txt
Emmanuel Mounier,1905–1950,Emmanuel_Mounier.txt
Empedocles,490 BC–430 BC,Empedocles.txt
Enrique Dussel,born 1934,Enrique_Dussel.txt
Enrique Molina Garmendia,1871–1962,Enrique_Molina_Garmendia.txt
Epicharmus,c. 540–450 BC,Epicharmus.txt
Epictetus,AD 55–c. 135,Epictetus.txt
Epicurus,341 BC–270 BC,Epicurus.txt
Erasmus Darwin,1731–1802,Erasmus_Darwin.txt
Eric Voegelin,1901–1985,Eric_Voegelin.txt
Erich Fromm,1900–1980,Erich_Fromm.txt
Ernest Nagel,1901–1985,Ernest_Nagel.txt
Ernest Sosa,born 1940,Ernest_Sosa.txt
Ernest Wamba dia Wamba,1942–2020,Ernest_Wamba_dia_Wamba.txt
Ernesto Che Guevara,1928–1967,Ernesto_Che_Guevara.txt
Ernesto Laclau,1935–2014,Ernesto_Laclau.txt
Ernst Bloch (philosopher),1885–1977,Ernst_Bloch_(philosopher).txt
Ernst Cassirer,1874–1945,Ernst_Cassirer.txt
Ernst Haeckel,1834–1919,Ernst_Haeckel.txt
Ernst Jünger,1895–1998,Ernst_Jünger.txt
Ernst Laas,1837–1885,Ernst_Laas.txt
